Ali MacGraw
Amy Adams
Angela Bassett
Angelina Jolie
Anjelica Huston
Ann Harding
Anna Magnani
Anna Magnani 
Anne Bancroft
Anne Bancroft
Anne Bancroft
Anne Bancroft
Anne Bancroft 
Anne Baxter
Anne Hathaway
Annette Bening
Annette Bening
Annette Bening
Ann-Margret
Anouk Aimée
Audrey Hepburn
Audrey Hepburn
Audrey Hepburn
Audrey Hepburn
Audrey Hepburn 
Ava Gardner
Barbara Stanwyck
Barbara Stanwyck
Barbara Stanwyck
Barbara Stanwyck
Barbra Streisand
Barbra Streisand  
Bessie Love
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis
Bette Davis 
Bette Davis 
Bette Davis 
Bette Midler
Bette Midler
Betty Compson
Brenda Blethyn
Brie Larson 
Carey Mulligan
Carol Kane
Carole Lombard
Carrie Snodgress
Carroll Baker
Catalina Sandino Moreno
Cate Blanchett
Cate Blanchett
Cate Blanchett
Cate Blanchett 
Catherine Deneuve
Celia Johnson
Charlize Theron
Charlize Theron
Charlize Theron 
Charlotte Rampling
Cher 
Cicely Tyson
Claudette Colbert
Claudette Colbert
Claudette Colbert 
Corinne Griffith
Cynthia Erivo
Debbie Reynolds
Deborah Kerr
Deborah Kerr
Deborah Kerr
Deborah Kerr
Deborah Kerr
Deborah Kerr
Debra Winger
Debra Winger
Debra Winger
Diahann Carroll
Diana Ross
Diana Wynyard
Diane Keaton
Diane Keaton
Diane Keaton
Diane Keaton 
Diane Lane
Doris Day
Dorothy Dandridge
Dorothy McGuire
Edith Evans
Eleanor Parker
Eleanor Parker
Eleanor Parker
Elisabeth Bergner
Elisabeth Shue
Elizabeth Hartman
Elizabeth Taylor
Elizabeth Taylor
Elizabeth Taylor
Elizabeth Taylor 
Elizabeth Taylor 
Ellen Burstyn
Ellen Burstyn
Ellen Burstyn
Ellen Burstyn
Ellen Burstyn 
Ellen Page
Emily Watson
Emily Watson
Emma Stone 
Emma Thompson
Emma Thompson
Emma Thompson 
Emmanuelle Riva
Fay Bainter
Faye Dunaway
Faye Dunaway
Faye Dunaway 
Felicity Huffman
Felicity Jones
Fernanda Montenegro
Frances McDormand 
Frances McDormand 
Gabourey Sidibe
Geena Davis
Gena Rowlands
Gena Rowlands
Gene Tierney
Geneviève Bujold
Geraldine Page
Geraldine Page
Geraldine Page
Geraldine Page 
Ginger Rogers 
Gladys George
