Adam Driver
Adolphe Menjou
Adrien Brody 
Al Pacino
Al Pacino
Al Pacino
Al Pacino
Al Pacino 
Alan Arkin
Alan Arkin
Alan Bates
Albert Finney
Albert Finney
Albert Finney
Albert Finney
Alec Guinness
Alec Guinness 
Alexander Knox
Alfred Lunt
Andrew Garfield
Anthony Franciosa
Anthony Hopkins
Anthony Hopkins
Anthony Hopkins 
Anthony Quinn
Anthony Quinn
Antonio Banderas
Art Carney 
Arthur Kennedy
Barry Fitzgerald
Ben Kingsley
Ben Kingsley 
Benedict Cumberbatch
Bill Murray
Billy Bob Thornton
Bing Crosby
Bing Crosby
Bing Crosby 
Bob Hoskins
Brad Pitt
Brad Pitt
Bradley Cooper
Bradley Cooper
Bradley Cooper
Broderick Crawford 
Bruce Dern
Bryan Cranston
Burt Lancaster
Burt Lancaster
Burt Lancaster
Burt Lancaster 
Cary Grant
Cary Grant
Casey Affleck 
Charles Boyer
Charles Boyer
Charles Boyer
Charles Boyer
Charles Laughton
Charles Laughton
Charles Laughton 
Charlie Chaplin
Charlton Heston 
Chester Morris
Chiwetel Ejiofor
Christian Bale
Christian Bale
Clark Gable
Clark Gable
Clark Gable 
Cliff Robertson 
Clifton Webb
Clint Eastwood
Clint Eastwood
Colin Firth
Colin Firth 
Cornel Wilde
Dan Dailey
Dan O'Herlihy
Daniel Day-Lewis
Daniel Day-Lewis
Daniel Day-Lewis
Daniel Day-Lewis 
Daniel Day-Lewis 
Daniel Day-Lewis 
Daniel Kaluuya
David Niven 
David Strathairn
Demián Bichir
Denzel Washington
Denzel Washington
Denzel Washington
Denzel Washington
Denzel Washington
Denzel Washington 
Dexter Gordon
Don Cheadle
Dudley Moore
Dustin Hoffman
Dustin Hoffman
Dustin Hoffman
Dustin Hoffman
Dustin Hoffman
Dustin Hoffman 
Dustin Hoffman 
Ed Harris
Eddie Redmayne
Eddie Redmayne 
Edward James Olmos
Edward Norton
Emil Jannings 
Ernest Borgnine 
F. Murray Abraham 
Forest Whitaker 
Franchot Tone
Frank Langella
Frank Morgan
Frank Sinatra
Fredric March
Fredric March
Fredric March
Fredric March 
Fredric March  
Gary Busey
Gary Cooper
Gary Cooper
Gary Cooper
Gary Cooper 
Gary Cooper 
Gary Oldman
Gary Oldman 
Gene Hackman
Gene Hackman 
Gene Kelly
Geoffrey Rush
Geoffrey Rush 
George Arliss 
George Arliss
George Bancroft
George C. Scott
George C. Scott §
George Clooney
George Clooney
George Clooney
Gérard Depardieu
Giancarlo Giannini
Gregory Peck
Gregory Peck
Gregory Peck
Gregory Peck
Gregory Peck 
Harrison Ford
Heath Ledger
Henry Fonda
Henry Fonda 
Hugh Jackman
Humphrey Bogart
Humphrey Bogart
Humphrey Bogart 
Ian McKellen
Jack Lemmon
Jack Lemmon
Jack Lemmon
